GSM526261	Prostate tumor PCA0178 exon
GSM526262	Prostate tumor PCA0179 exon
GSM526263	Prostate tumor PCA0180 exon
GSM526264	Prostate tumor PCA0181 exon
GSM526265	Prostate tumor PCA0182 exon
GSM526266	Prostate tumor PCA0184 exon
GSM526267	Prostate tumor PCA0187 exon
GSM526268	Prostate tumor PCA0188 exon
GSM526269	Prostate tumor PCA0189 exon
GSM526270	Prostate tumor PCA0190 exon
GSM526271	Prostate tumor PCA0193 exon
GSM526272	Prostate tumor PCA0194 exon
GSM526273	Prostate tumor PCA0199 exon
GSM526274	Prostate tumor PCA0200 exon
GSM526275	Prostate tumor PCA0201 exon
GSM526276	Prostate tumor PCA0206 exon
GSM526277	Prostate tumor PCA0207 exon
GSM526278	Prostate tumor PCA0208 exon
GSM526279	Prostate tumor PCA0209 exon
GSM526280	Prostate tumor PCA0210 exon
GSM526281	Prostate tumor PCA0211 exon
GSM526282	Prostate tumor PCA0213 exon
GSM526283	Prostate tumor PCA0215 exon
GSM526284	Cell line DU145 exon
GSM526285	Cell line LNCaP exon
GSM526286	Xenograft LNCaP104R exon
GSM526287	Xenograft LNCaP104S exon
GSM526288	Cell line PC3 exon
GSM526289	Cell line Vcap exon
GSM526290	Prostate normal PAN0095 exon
GSM526291	Prostate normal PAN0107 exon
GSM526292	Prostate normal PAN0109 exon
GSM526293	Prostate normal PAN0110 exon
GSM526294	Prostate normal PAN0112 exon
GSM526295	Prostate normal PAN0113 exon
GSM526296	Prostate normal PAN0114 exon
GSM526297	Prostate normal PAN0115 exon
GSM526298	Prostate normal PAN0117 exon
GSM526299	Prostate normal PAN0120 exon
GSM526300	Prostate normal PAN0122 exon
GSM526301	Prostate normal PAN0125 exon
GSM526302	Prostate normal PAN0127 exon
GSM526303	Prostate normal PAN0128 exon
GSM526304	Prostate normal PAN0129 exon
GSM526305	Prostate normal PAN0134 exon
GSM526306	Prostate normal PAN0135 exon
GSM526307	Prostate normal PAN0136 exon
GSM526308	Prostate normal PAN0144 exon
GSM526309	Prostate normal PAN0147 exon
GSM526310	Prostate normal PAN0151 exon
GSM526311	Prostate normal PAN0157 exon
GSM526312	Prostate normal PAN0162 exon
GSM526313	Prostate normal PAN0164 exon
GSM526314	Prostate normal PAN0167 exon
GSM526315	Prostate normal PAN0169 exon
GSM526316	Prostate normal PAN0171 exon
GSM526317	Prostate normal PAN0172 exon
GSM526318	Prostate normal PAN0174 exon
GSM527858	Prostate tumor PCA0001 transcript
GSM527859	Prostate tumor PCA0002 transcript
GSM527860	Prostate tumor PCA0003 transcript
GSM527861	Prostate tumor PCA0005 transcript
GSM527862	Prostate tumor PCA0007 transcript
GSM527863	Prostate tumor PCA0008 transcript
GSM527864	Prostate tumor PCA0009 transcript
GSM527865	Prostate tumor PCA0010 transcript
GSM527866	Prostate tumor PCA0011 transcript
GSM527867	Prostate tumor PCA0012 transcript
GSM527868	Prostate tumor PCA0013 transcript
GSM527869	Prostate tumor PCA0014 transcript
GSM527870	Prostate tumor PCA0015 transcript
GSM527871	Prostate tumor PCA0017 transcript
GSM527872	Prostate tumor PCA0018 transcript
GSM527873	Prostate tumor PCA0020 transcript
GSM527874	Prostate tumor PCA0021 transcript
GSM527875	Prostate tumor PCA0022 transcript
GSM527876	Prostate tumor PCA0024 transcript
GSM527877	Prostate tumor PCA0025 transcript
GSM527878	Prostate tumor PCA0026 transcript
GSM527879	Prostate tumor PCA0027 transcript
GSM527880	Prostate tumor PCA0028 transcript
GSM527881	Prostate tumor PCA0029 transcript
GSM527882	Prostate tumor PCA0030 transcript
GSM527883	Prostate tumor PCA0031 transcript
GSM527884	Prostate tumor PCA0032 transcript
GSM527885	Prostate tumor PCA0033 transcript
GSM527886	Prostate tumor PCA0034 transcript
GSM527887	Prostate tumor PCA0035 transcript
GSM527888	Prostate tumor PCA0036 transcript
GSM527889	Prostate tumor PCA0037 transcript
GSM527890	Prostate tumor PCA0038 transcript
GSM527891	Prostate tumor PCA0040 transcript
GSM527892	Prostate tumor PCA0050 transcript
GSM527893	Prostate tumor PCA0052 transcript
GSM527894	Prostate tumor PCA0054 transcript
GSM527895	Prostate tumor PCA0056 transcript
GSM527896	Prostate tumor PCA0057 transcript
